symbol,full_name,url,catalog_available,remote_status,local_snapshot_available,snapshot_path,config_path
GSPC,S&P 500 (^GSPC),https://query1.finance.yahoo.com/v7/finance/download/%5EGSPC?period1=-1325635200&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/GSPC/config.yaml
TNX,Treasury Yield 10 Years (^TNX),https://query1.finance.yahoo.com/v7/finance/download/%5ETNX?period1=-252374400&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/TNX/config.yaml
IXIC,NASDAQ Composite (^IXIC),https://query1.finance.yahoo.com/v7/finance/download/%5EIXIC?period1=34560000&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/IXIC/config.yaml
F,Ford Motor Company (F),https://query1.finance.yahoo.com/v7/finance/download/F?period1=76204800&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/F/config.yaml
WMT,Walmart Inc. (WMT),https://query1.finance.yahoo.com/v7/finance/download/WMT?period1=83548800&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/WMT/config.yaml
TM,Toyota Motor Corporation (TM),https://query1.finance.yahoo.com/v7/finance/download/TM?period1=209174400&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/TM/config.yaml
AAPL,Apple Inc. (AAPL),https://query1.finance.yahoo.com/v7/finance/download/AAPL?period1=345427200&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/AAPL.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/AAPL/config.yaml
HD,"The Home Depot, Inc. (HD)",https://query1.finance.yahoo.com/v7/finance/download/HD?period1=369964800&period2=1602028800&interval=1d&events=history,true,unknown_network_not_checked,true,~/REPOS/MarketIndicators.jl/OLD/src/DATA/original/HD.csv,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/HD/config.yaml
DJIA,Dow Jones Industrial Average (^DJI),https://query1.finance.yahoo.com/v7/finance/download/%5EDJI?period1=475804800&period2=1602028800&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/DJIA/config.yaml
MSFT,Microsoft Corporation (MSFT),https://query1.finance.yahoo.com/v7/finance/download/MSFT?period1=511056000&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/MSFT/config.yaml
RUT,Russell 2000 (^RUT),https://query1.finance.yahoo.com/v7/finance/download/%5ERUT?period1=558230400&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true,true,unknown_network_not_checked,false,,~/REPOS/MarketIndicators.jl/data_ingestion/indicators/RUT/config.yaml
